value
9092102363.1
6472709796.1
10160947368.1
9341351130.1
14949939352.1
7255855965.1
10612729729.1
9371213738.1
8973607594.1
6193104781.1
9633522721.1
11674500000.1
8374481326.1
8574481326.1
8776534994.1
9046301304.1
6746301304.1
5746301304.1
8361462899.1
6561462899.1
